2008,01,03, 50000
2008,01,04, 49892
2008,01,07, 49881
2008,01,08, 49800
2008,01,09, 49814
2008,01,10, 49879
2008,01,11, 49879
2008,01,14, 49879
2008,01,15, 49879
2008,01,16, 49879
2008,01,17, 49879
2008,01,18, 49879
2008,01,22, 49889
2008,01,23, 49881
2008,01,24, 49918
2008,01,25, 49947
2008,01,28, 50006
2008,01,29, 50006
2008,01,30, 50006
2008,01,31, 50006
2008,02,01, 50006
2008,02,04, 50006
2008,02,05, 50006
2008,02,06, 49981
2008,02,07, 49975
2008,02,08, 49963
2008,02,11, 49992
2008,02,12, 50018
2008,02,13, 50018
2008,02,14, 50018
2008,02,15, 50006
2008,02,19, 49972
2008,02,20, 49920
2008,02,21, 49900
2008,02,22, 49940
2008,02,25, 49940
2008,02,26, 49940
2008,02,27, 49940
2008,02,28, 49940
2008,02,29, 49940
2008,03,03, 49940
2008,03,04, 49940
2008,03,05, 49940
2008,03,06, 49940
2008,03,07, 49940
2008,03,10, 49940
2008,03,11, 49940
2008,03,12, 49940
2008,03,13, 49940
2008,03,14, 49940
2008,03,17, 49940
2008,03,18, 49940
2008,03,19, 49940
2008,03,20, 49940
2008,03,24, 49940
2008,03,25, 49940
2008,03,26, 49940
2008,03,27, 49916
2008,03,28, 49933
2008,03,31, 49955
2008,04,01, 49993
2008,04,02, 49975
2008,04,03, 49975
2008,04,04, 49975
2008,04,07, 49975
2008,04,08, 49975
2008,04,09, 49976
2008,04,10, 49992
2008,04,11, 49970
2008,04,14, 49915
2008,04,15, 49963
2008,04,16, 50042
2008,04,17, 50067
2008,04,18, 50054
2008,04,21, 50031
2008,04,22, 50042
2008,04,23, 50003
2008,04,24, 50032
2008,04,25, 50054
2008,04,28, 50054
2008,04,29, 50054
2008,04,30, 50054
2008,05,01, 50054
2008,05,02, 50054
2008,05,05, 50054
2008,05,06, 50054
2008,05,07, 50054
2008,05,08, 50054
2008,05,09, 50054
2008,05,12, 50054
2008,05,13, 50054
2008,05,14, 50054
2008,05,15, 50054
2008,05,16, 50054
2008,05,19, 50047
2008,05,20, 50005
2008,05,21, 49972
2008,05,22, 49975
2008,05,23, 49942
2008,05,27, 49964
2008,05,28, 49957
2008,05,29, 49957
2008,05,30, 49957
2008,06,02, 49957
2008,06,03, 49957
2008,06,04, 49957
2008,06,05, 49957
2008,06,06, 49916
2008,06,09, 49870
2008,06,10, 49882
2008,06,11, 49812
2008,06,12, 49827
2008,06,13, 49827
2008,06,16, 49827
2008,06,17, 49827
2008,06,18, 49827
2008,06,19, 49872
2008,06,20, 49906
2008,06,23, 49900
2008,06,24, 49911
2008,06,25, 49924
2008,06,26, 49924
2008,06,27, 49924
2008,06,30, 49924
2008,07,01, 49942
2008,07,02, 49847
2008,07,03, 49837
2008,07,07, 49780
2008,07,08, 50031
2008,07,09, 49873
2008,07,10, 49778
2008,07,11, 49553
2008,07,14, 49216
2008,07,15, 49151
2008,07,16, 49718
2008,07,17, 49873
2008,07,18, 49923
2008,07,21, 49923
2008,07,22, 49923
2008,07,23, 49923
2008,07,24, 49923
2008,07,25, 49908
2008,07,28, 49760
2008,07,29, 50055
2008,07,30, 50062
2008,07,31, 50038
2008,08,01, 50049
2008,08,04, 50049
2008,08,05, 50116
2008,08,06, 50184
2008,08,07, 50153
2008,08,08, 50164
2008,08,11, 50158
2008,08,12, 50073
2008,08,13, 50007
2008,08,14, 50056
2008,08,15, 50056
2008,08,18, 50056
2008,08,19, 50056
2008,08,20, 50056
2008,08,21, 50056
2008,08,22, 50056
